R10E11.1	Y47G6A.6
F35G12.8	M106.1
F35G12.8	Y39A1B.3
M106.1	Y39A1B.3
C02B10.2	T20G5.10
C02B10.2	Y73B6BL.30
T20G5.10	Y73B6BL.30
C35D10.16	K07C5.1
C35D10.16	M01B12.3
C35D10.16	Y37D8A.1
C35D10.16	Y6D11A.2
C35D10.16	Y71F9AL.16
K07C5.1	M01B12.3
K07C5.1	Y37D8A.1
K07C5.1	Y6D11A.2
K07C5.1	Y71F9AL.16
M01B12.3	Y37D8A.1
M01B12.3	Y6D11A.2
M01B12.3	Y71F9AL.16
Y37D8A.1	Y6D11A.2
Y37D8A.1	Y71F9AL.16
Y6D11A.2	Y71F9AL.16
B0205.3	C23G10.4
B0205.3	C30C11.2
B0205.3	C44B7.1
B0205.3	C52E4.4
B0205.3	F10G7.8
B0205.3	F23F1.8
B0205.3	F23F12.6
B0205.3	F29G9.5
B0205.3	F35G12.12
B0205.3	F40G9.17
B0205.3	F49C12.8
B0205.3	F56H1.4
B0205.3	F57B9.10
B0205.3	K07D4.3
B0205.3	R12E2.3
B0205.3	T06D8.8
B0205.3	T22D1.9
B0205.3	Y49E10.1
B0205.3	ZK20.5
C23G10.4	C30C11.2
C23G10.4	C44B7.1
C23G10.4	C52E4.4
C23G10.4	F10G7.8
C23G10.4	F23F1.8
C23G10.4	F23F12.6
C23G10.4	F29G9.5
C23G10.4	F35G12.12
C23G10.4	F40G9.17
C23G10.4	F49C12.8
C23G10.4	F56H1.4
C23G10.4	F57B9.10
C23G10.4	K07D4.3
C23G10.4	R12E2.3
C23G10.4	T06D8.8
C23G10.4	T22D1.9
C23G10.4	Y49E10.1
C23G10.4	ZK20.5
C30C11.2	C44B7.1
C30C11.2	C52E4.4
C30C11.2	F10G7.8
C30C11.2	F23F1.8
C30C11.2	F23F12.6
C30C11.2	F29G9.5
C30C11.2	F35G12.12
C30C11.2	F40G9.17
C30C11.2	F49C12.8
C30C11.2	F56H1.4
C30C11.2	F57B9.10
C30C11.2	K07D4.3
C30C11.2	R12E2.3
C30C11.2	T06D8.8
C30C11.2	T22D1.9
C30C11.2	Y49E10.1
C30C11.2	ZK20.5
C44B7.1	C52E4.4
C44B7.1	F10G7.8
C44B7.1	F23F1.8
C44B7.1	F23F12.6
C44B7.1	F29G9.5
C44B7.1	F35G12.12
C44B7.1	F40G9.17
C44B7.1	F49C12.8
C44B7.1	F56H1.4
C44B7.1	F57B9.10
C44B7.1	K07D4.3
C44B7.1	R12E2.3
C44B7.1	T06D8.8
C44B7.1	T22D1.9
C44B7.1	Y49E10.1
C44B7.1	ZK20.5
C52E4.4	F10G7.8
C52E4.4	F23F1.8
C52E4.4	F23F12.6
C52E4.4	F29G9.5
C52E4.4	F35G12.12
C52E4.4	F40G9.17
C52E4.4	F49C12.8
C52E4.4	F56H1.4
C52E4.4	F57B9.10
C52E4.4	K07D4.3
C52E4.4	R12E2.3
C52E4.4	T06D8.8
C52E4.4	T22D1.9
C52E4.4	Y49E10.1
C52E4.4	ZK20.5
F10G7.8	F23F1.8
F10G7.8	F23F12.6
F10G7.8	F29G9.5
F10G7.8	F35G12.12
F10G7.8	F40G9.17
F10G7.8	F49C12.8
F10G7.8	F56H1.4
F10G7.8	F57B9.10
F10G7.8	K07D4.3
F10G7.8	R12E2.3
F10G7.8	T06D8.8
F10G7.8	T22D1.9
F10G7.8	Y49E10.1
F10G7.8	ZK20.5
F23F1.8	F23F12.6
F23F1.8	F29G9.5
F23F1.8	F35G12.12
F23F1.8	F40G9.17
F23F1.8	F49C12.8
F23F1.8	F56H1.4
F23F1.8	F57B9.10
F23F1.8	K07D4.3
F23F1.8	R12E2.3
F23F1.8	T06D8.8
F23F1.8	T22D1.9
F23F1.8	Y49E10.1
F23F1.8	ZK20.5
F23F12.6	F29G9.5
F23F12.6	F35G12.12
F23F12.6	F40G9.17
F23F12.6	F49C12.8
F23F12.6	F56H1.4
F23F12.6	F57B9.10
F23F12.6	K07D4.3
F23F12.6	R12E2.3
F23F12.6	T06D8.8
F23F12.6	T22D1.9
F23F12.6	Y49E10.1
F23F12.6	ZK20.5
F29G9.5	F35G12.12
F29G9.5	F40G9.17
F29G9.5	F49C12.8
F29G9.5	F56H1.4
F29G9.5	F57B9.10
F29G9.5	K07D4.3
F29G9.5	R12E2.3
F29G9.5	T06D8.8
F29G9.5	T22D1.9
F29G9.5	Y49E10.1
F29G9.5	ZK20.5
F35G12.12	F40G9.17
F35G12.12	F49C12.8
F35G12.12	F56H1.4
