F57B9.2	ZC518.3																																																										
F35D6.1	C08B11.1	F08G12.4	R09E10.7	ZK287.5	T24C4.6	Y82E9BR.15																																																					
K07A1.12	JC8.6																																																										
C09G12.9	C06A6.3	Y87G2A.10																																																									
F08C6.3	B0414.8	T05G5.8																																																									
W01B6.9	R12B2.4	Y92C3B.1																																																									
Y71H2AM.19	F53A2.6	T21G5.5	W03C9.7	F26A3.3	C18G1.4	C09G9.6	T22B3.2	ZK328.5	ZC404.8	F52E1.1	ZK858.1	F20D12.1	F53G12.5	B0414.6	ZC308.1	F52G2.1	T12F5.3	B0523.3	T21G5.3	D2030.6	F58G11.2	F21H12.5	K10D2.3	AH6.5	C30G12.7	F48E8.5	T28D9.10	T23G11.3	Y56A3A.20	Y116A8C.42	F26F4.7	F54C9.8	F56F3.1	K02B9.1	K02B9.2	R06C7.1	ZC513.6	ZK381.4	Y54E10A.9	Y106G6H.2	C36B1.8	D2005.5	Y49E10.14	F45E4.2	C06A5.11	C18A3.5	C07H6.5	T07F8.3	C55B7.1	Y65B4BL.2	Y55F3AM.12	Y71F9B.4	F52D2.4	C36C9.1	M88.6	F49E11.1	Y49E10.15	W02A2.7	Y18D10A.17
R06A4.7	C09G4.5																																																										
F56D12.5	F10G7.2																																																										
C15C8.2	C25A1.11	F01D4.6	C08C3.3	C30A5.7	F31E3.1	F13E6.4	F28B12.2	T24B8.6																																																			
C16C10.3	R04A9.2																																																										
C06A1.1	C41C4.8	F19B6.2																																																									
C38C6.2	F27C8.1																																																										
F22B5.1	Y106G6E.6	C18E9.11	F22B7.13	Y69A2AR.2	T03F6.5																																																						
ZK593.5	1C866	Y39G10AR.12	K07C11.2	C17G10.4	C34C12.3	Y59A8B.7																																																					
F08F8.3	Y50D7A.6																																																										
K05C4.6	R13H4.4	F12F6.5	W03F11.6	W02B9.1	Y105C5B.21																																																						
T05C12.7	C07G2.3																																																										
C37A2.4	T21G5.4	W09C3.6	K03E5.3	ZK131.5	ZK131.9	F35H10.11	F17E9.9	F08G2.1	C02F5.1	T01G9.5	C10G11.9	T03F1.5	T27A3.4	C04G2.8	C25G4.6	C38D4.3	F18E2.3	F28B12.3	Y48G1BL.2																																								
F28B3.7	F10G7.4	F18E2.3																																																									
F10B5.5	Y69A2AR.30	K11D9.1	Y106G6H.15																																																								
T10B5.6	Y69A2AR.30																																																										
F48F7.1	F52G2.1	Y56A3A.20	C06G1.4	F26F4.7	F40F8.9	F43G6.9	Y106G6H.2	C07H6.5	Y55F3AM.12	Y62E10A.12	Y18D10A.17																																																
K08F4.2	R04A9.4	Y54E10A.9	C06A5.11	C18A3.5	C07H6.5	Y46G5A.13																																																					
C25G4.5	R13G10.1	M106.1	Y39A1B.3																																																								
D2024.6	M106.5	C28H8.12	C26B2.1	W10G11.20	C49H3.8	Y54E10A.5	Y71F9AL.14	Y53F4B.22																																																			
F30A10.8	F15D3.1	F47G6.1																																																									
F10E9.6	F09G8.1	C56G7.1	F58B6.2																																																								
F14D12.2	F54G8.3	ZK1058.2	C29F9.7																																																								
T20G5.11	Y39A1C.3	T22B2.4	F46F11.2	M01E11.5	C38C3.5	C07H6.5	Y18D10A.17																																																				
ZK520.3	Y41G9A.1	C02H7.1	T27B1.1	F59C6.7																																																							
C15A11.3	K05C4.11																																																										
T01G9.5	F47G4.4	F47G4.5																																																									
C10H11.10	R05D3.7	C18C4.10																																																									
Y54E2A.3	F57C2.6	K11D9.1	T03F1.9	Y39G10AR.13	F22B5.7	C50F4.11	ZC328.4	T10B5.6	ZK1055.1	R107.6	C02F5.1	F58A4.3	W01B6.9	C06A8.5	C38D4.3	K04D7.1	R06C7.8	R12B2.4	T06E4.1	Y39G10AR.2	T03F6.5	VW02B12L.3																																					
C07A9.3	H26D21.1	F28B3.7	F57C9.5	T21G5.4	W09C3.6	F37A4.8	C10G11.9	T03F1.5	T27A3.4	F33A8.1	C04G2.8	C25G4.6	T09E8.2	Y16B4A.1	W10D5.3	Y57A10A.19	W02A2.6																																										
Y49E10.6	R06A4.7	C09G4.5																																																									
ZK858.1	T12D8.2	F18H3.3	C36B1.8	Y106G6H.2																																																							
K01G5.6	ZC308.1	R119.7	C14F5.1	Y102E9.1	F38A5.1																																																						
F38H4.9	F48E8.5																																																										
F09F7.2	F13C5.6	F11C3.3	R06C7.10	K12F2.1	B0303.2	C04F12.8																																																					
R03E9.1	C26D10.2																																																										
VW02B12L.1	ZK637.8																																																										
C50C3.10	C50C3.11	C09F5.2																																																									
